task_name,thinking_fraction
describe menu items to customers or suggest products that might appeal to them.,
"describe merchandise and explain use, operation, and care of merchandise to customers.",
design advanced precision equipment for accurate or controlled applications.,
"design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms.",
design and create special programs for tasks such as statistical analysis and data entry and cleaning.,0.09486166
"design and develop medical diagnostic and clinical instrumentation, equipment, and procedures, using the principles of engineering and biobehavioral sciences.",
"design and direct nuclear research projects to discover facts, to test or modify theoretical models, or to develop new theoretical models or new uses for current models.",0.1328125
design and implement warehouse database structures.,
"design and implement web site security measures, such as firewalls or message encryption.",
"design and produce displays and materials that can be used to decorate windows, interior displays, or event locations such as streets and fairgrounds.",
design and validate clinical databases including designing or testing logic checks.,
"design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining.",
design community solid and hazardous waste management programs.,
"design complex graphics and animation, using independent judgment, creativity, and computer equipment.",0.063144326
design computer simulations to model physical data so that it can be better understood.,0.11048159
design computers and the software that runs them.,
"design custom clothing and accessories for individuals, retailers, or theatrical, television, or film productions.",
"design customer interface of online storefront, using web programming or e-commerce software.",
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure.",0.05429293
"design databases to support business applications, ensuring system scalability, security, performance and reliability.",0.07044265
"design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (sbr), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings.",
design electro-optical sensing or imaging systems.,
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.",0.10037175
design engineering systems for the automation of industrial tasks.,
"design forms for receiving, processing, or tracking data.",
design forms related to filing systems.,
"design geological mine maps, monitor mine structural integrity, or advise and monitor mining crews.",
"design individualized care plans, using a variety of treatments.",
"design information storage and retrieval systems and develop procedures for collecting, organizing, interpreting, and classifying information.",0.08097166
design instructional aids for stand-alone or instructor-led classroom or online use.,0.04821803
design layouts of audio and video equipment and perform upgrades and maintenance.,
"design learning products, including web-based aids or electronic performance support systems.",
design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.,
"design molecular or cellular laboratory experiments, oversee their execution, and interpret results.",
"design music therapy experiences, using various musical elements to meet client's goals or objectives.",
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics.",
design or build laboratory equipment needed for special research projects.,
"design or conduct follow-up experimentation, based on generated data, to meet established process objectives.",
"design or conduct studies to determine optimal conditions for cell growth, protein production, or protein or virus expression or recovery, using chromatography, separation, or filtration equipment, such as centrifuges or bioreactors.",
"design or conduct tests of new nanotechnology products, processes, or systems.",
"design or construct costumes or send them to tailors for construction, major repairs, or alterations.",
"design or coordinate successive phases of problem analysis, solution proposals, or testing.",
design or develop automated testing tools.,0.09785933
"design or develop energy products using nanomaterials or nanoprocesses, such as micro-nano machining.",
"design or develop new equipment or methods for meteorological data collection, remote sensing, or related applications.",
"design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",0.10962343
"design or engineer drainage, erosion, or sedimentation control systems for transportation projects.",
design or implement plant warehousing strategies for production materials or finished products.,
design or implement products and services to mitigate risk or facilitate use of technology-based tools and methods.,0.08982036
design or implement web-based tools for querying large-scale biological databases.,
"design or prepare graphic representations of geographic information systems (gis) data, using gis hardware or software applications.",
"design or produce materials such as posters, web sites, or newsletters to promote, market, or advertise fundraising events.",
design or select equipment for use in wastewater processing to ensure compliance with government standards.,
"design or supervise the design of systems, processes, or equipment for control, management, or remediation of water, air, or soil quality.",
design patient education programs that include information required to make informed health care and treatment decisions.,0.040767387
design research projects that apply valid scientific techniques and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.,
"design research studies in collaboration with physicians, life scientists, or other professionals.",
"design robotic systems, such as automatic vehicle control, autonomous vehicles, advanced displays, advanced sensing, robotic platforms, computer vision, or telematics systems.",
"design security policies, programs, or practices to ensure adequate security relating to issues such as protection of assets, alarm response, and access card use.",
"design silver articles, such as jewelry and serving pieces.",
"design software to control robotic systems for applications, such as military defense or manufacturing.",0.12269939
"design specialized or customized equipment, machines, or structures.",
design transportation surveys to identify areas of public concern.,
"design transportation systems or structures using sustainable materials or products, such as porous pavement or bioretention structures.",
"design water run-off collection networks, water supply channels, or water supply system networks.",
design water storage tanks or other water storage facilities.,
"design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code.",
"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",0.07105893
"design, build, or operate equipment configuration prototypes, including network hardware, software, servers, or server operation systems.",
"design, configure, and test computer hardware, networking software and operating system software.",0.07743363
"design, customize, and maintain databases, web pages, and local area networks.",0.056360707
"design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",0.13083498
"design, develop, or implement control circuits or algorithms for electromechanical or pneumatic devices or systems.",
"design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",0.06787331
"design, evaluate and modify benefits policies to ensure that programs are current, competitive and in compliance with legal requirements.",
"design, evaluate, recommend, and approve changes of forms and reports.",
"design, implement, or evaluate health service delivery systems to improve the health of targeted populations.",
"design, implement, or operate comprehensive data warehouse systems to balance optimization of data access with batch loading and resource utilization factors, according to customer requirements.",
"design, install, or troubleshoot manufacturing equipment.",
"design, integrate, or test photonics systems or components.",
"design, make, or fit prosthodontic appliances, such as space maintainers, bridges, or dentures, or write fabrication instructions or prescriptions for denturists or dental technicians.",
"design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",
"design, plan, organize, or direct orientation and training programs for employees or customers.",
"design, program, or model geographic information systems (gis) applications or procedures.",
"design, promote, or administer government plans or policies affecting land use, zoning, public utilities, community facilities, housing, or transportation.",
"design, review and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.",
"design, use, or maintain databases and software applications, such as geographic information systems (gis) mapping and artificial intelligence tools.",
"determine a published or broadcasted story's emphasis, length, and format and organize material accordingly.",
"determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases.",
determine amounts and kinds of chemicals to use in destroying harmful organisms or removing impurities from purification systems.,
"determine and specify details of survey projects, including sources of information, procedures to be used, and the design of survey instruments and materials.",
determine applications of photonics appropriate to meet product objectives or features.,
"determine appropriate sizes, ratings, and locations for all system overcurrent devices, disconnect devices, grounding equipment, and surge suppression equipment.",
"determine campaign strategies for media advertising, positions on issues, and public appearances.",
"determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",
determine computer software or hardware needed to set up or alter system.,
determine connection interfaces for additional subpanels or for connecting photovoltaic (pv) systems with utility services or other power generation sources.,
determine data collection methods to be employed in research projects or surveys.,
"determine desired images and picture composition, selecting and adjusting subjects, equipment, and lighting to achieve desired effects.",
determine efficient and cost-effective methods of moving goods from one location to another.,
"determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.",0.036627505
"determine fares based on trip distances and times, using taximeters and fee schedules, and announce fares to passengers.",
"determine feasibility of designing new facilities or modifying existing facilities, based on factors such as cost, available space, schedule, technical requirements, or ergonomics.",
determine food and beverage costs and assist in implementing cost control procedures.,
"determine formats, approaches, content, levels, and mediums necessary to meet production objectives effectively and within budgetary constraints.",
"determine formats, approaches, content, levels, and mediums to effectively meet objectives within budgetary constraints, using research, knowledge, and training.",
"determine genetic composition of animal populations and heritability of traits, using principles of genetics.",
determine guidelines that specify which source material is acceptable for use.,
determine location for product listings to maximize exposure to online traffic.,
"determine map content and layout, as well as production specifications such as scale, size, projection, and colors, and direct production to ensure that specifications are followed.",
"determine materials, equipment, and installation sequences necessary to maximize installation efficiency.",
"determine meal prices, based on calculations of ingredient prices.",
"determine or help determine company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.",
determine packaging requirements.,
"determine plant growing conditions, such as greenhouses, hydroponics, or natural settings, and set planting and care schedules.",
determine policy contract provisions for each type of insurance.,
determine price schedules and discount rates.,
"determine regulations or procedures related to the management, collection, reuse, recovery, or recycling of packaging waste.",
"determine replacement parts required, according to inspections of old parts, customer requests, or customers' descriptions of malfunctions.",
"determine required equipment and welding methods, applying knowledge of metallurgy, geometry, and welding techniques.",
"determine requirements for treatment, such as type, method and duration of therapy, precautions to be taken, or medication and dosages, compatible with physicians' orders.",
"determine size and arrangement of illustrative material and copy, and select style and size of type.",
"determine sources of web page or server problems, and take action to correct such problems.",0.05364627
"determine supplementary virtual features, such as currency, item catalog, menu design, and audio direction.",0.0795053
determine the value loss impact and criticality of assets.,
"determine types and quantities of horticultural plants to be grown, based on budgets, projected sales volumes, or executive directives.",
determine which products or colors will improve clients' skin quality and appearance.,
"determine which topics to research, or pursue research topics specified by clients or employers.",
develop advertising and other informational materials to be used in subject recruitment.,
"develop advertising campaigns for a wide range of clients, working with an advertising agency's creative director and art director to determine the best way to present advertising information.",
develop an understanding of customers' needs and take actions to ensure that such needs are met.,
develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate.,0.044857766
"develop and direct software system testing and validation procedures, programming, and documentation.",
"develop and distribute newsletters, brochures, or other printed materials to share information with patients or medical staff.",
develop and document database architectures.,0.087114334
develop and document style guidelines for web site content.,
"develop and implement data extraction procedures from other systems, such as administration, billing, or claims.",
develop and implement individualized plans for health care management.,
"develop and implement individualized treatment plans addressing family relationship problems, destructive patterns of behavior, and other personal issues.",
"develop and implement marketing plans for home pages, including print advertising or advertisement rotation.",
develop and implement organizational policies and procedures for the facility or medical unit.,
develop and implement policies and procedures for the operation of a department or establishment.,
"develop and implement purchasing and contract management instructions, policies, and procedures.",
develop and implement solutions for network problems.,
"develop and implement technical project management tools, such as plans, schedules, and responsibility and compliance matrices.",
develop and implement treatment plans.,
"develop and interpret organizational goals, policies, and procedures.",
develop and maintain computer databases.,0.07254464
"develop and maintain computerized record management systems to store and process data such as personnel activities and information, and to produce reports.",0.09358289
"develop and maintain departmental policies, procedures, objectives, or patient care standards based on evidence-based practice guidelines or expert opinion.",
"develop and maintain design level documentation, including mechanics, guidelines, and mission outlines.",
"develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",0.027522936
develop and modify astronomy-related programs for public presentation.,0.031521738
"develop and organize training manuals, multimedia visual aids, and other educational materials.",
"develop and participate in health promotion programs, group activities, or discussions to promote client health, facilitate social adjustment, alleviate stress, and prevent physical or mental disability.",
"develop and present health education and promotion programs, such as training workshops, conferences, and school or community presentations.",
"develop and test experimental designs, sampling techniques, and analytical methods.",
develop and test theories concerning the origin and development of past cultures.,
"develop and test theories, using information from interviews, newspapers, periodicals, case law, historical papers, polls, or statistical sources.",
"develop and write procedures for installation, use, or troubleshooting of communications hardware or software.",
develop application-specific software.,0.08216677
develop applied software for the analysis and interpretation of geological data.,
"develop approaches to the solution of groups' problems, based on research findings in sociology and related disciplines.",0.08108108
"develop biocatalytic processes to convert biomass to fuels or fine chemicals, using enzymes of bacteria, yeast, or other microorganisms.",
"develop briefings, brochures, multimedia presentations, web pages, promotional products, technical illustrations, and computer artwork for use in products, technical manuals, literature, newsletters, and slide shows.",0.03148024
"develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",
"develop business methods and procedures, including accounting systems, file systems, office systems, logistics systems, and production schedules.",
"develop calibration methodologies, test methodologies, or tools.",
"develop classroom-based and distance learning training courses, using needs assessments and skill level analyses.",
"develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.",
"develop client treatment plans based on research, clinical experience, and client histories.",
"develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",
"develop comprehensive plans for immediate and long-term rehabilitation including therapeutic exercise; speech and occupational therapy; counseling; cognitive retraining; patient, family or caregiver education; or community reintegration.",
develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,
"develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",
develop computer models to address transportation planning issues.,
develop concepts or creative ideas for craft objects.,0.05485232
develop conceptual designs of security systems.,
"develop conceptual, logical, or physical network designs.",
"develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.",
develop criteria for the design and modification of survey instruments.,
develop curricula and plan course content and methods of instruction.,
"develop curricula, and recommend curricula revisions and additions.",
"develop curriculum and prepare manuals, visual aids, course outlines, and other materials used in teaching.",0.042176872
"develop data model describing data elements and how they are used, following procedures and using pen, template or computer software.",
develop data models and databases.,0.049746193
"develop data models for applications, metadata tables, views or related database structures.",0.058035713
"develop data warehouse process models, including sourcing, loading, transformation, and extraction.",
"develop database architectural strategies at the modeling, design and implementation stages to address business or industry requirements.",0.1043257
develop databases that support web applications and web sites.,0.044386424
"develop defense plans or tactics, using intelligence and other information.",
develop designs using specialized computer software.,
develop disaster recovery plans.,
"develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.",
"develop educational materials and programs for community agencies, local government, and state government.",
"develop environmental management or restoration plans for sites with power transmission lines, natural gas pipelines, fuel refineries, geothermal plants, wind farms, or solar farms.",
"develop exercise programs to improve participant strength, flexibility, endurance, or circulatory functioning, in accordance with exercise science standards, regulatory requirements, and credentialing requirements.",
"develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue, to create material.",0.028217481
"develop financial plans, based on analysis of clients' financial status.",
"develop formal documentation for microelectromechanical systems (mems) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting.",
"develop graphics and layouts for product illustrations, company logos, and web sites.",
"develop ideas for creating dances, keeping notes and sketches to record influences.",0.048812665
develop ideas for programs and features that a station could produce.,
develop implementation plans that include analyses such as cost-benefit or return on investment (roi).,
develop in-service educational materials.,
develop individual treatment plans and strategies.,
"develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.",
develop instruction or training roadmaps for online and blended learning programs.,
develop instructional materials and conduct in-service and community-based educational programs.,
develop instructional materials and products for technology-based redesign of courses.,0.05818182
develop instructional materials for the public and make presentations to citizens' groups to provide information on emergency plans and their implementation processes.,
develop instructional materials to be used by educators and instructors.,0.024875622
"develop instructional materials, such as lesson plans, handouts, or examinations.",0.017611835
develop instrumentation and software for astronomical observation and analysis.,0.08071749
"develop internal control policies, guidelines, and procedures for activities such as budget administration, cash and credit management, and accounting.",
"develop interview techniques, rating scales, and psychological tests used to assess skills, abilities, and interests for the purpose of employee selection, placement, and promotion.",
"develop job specifications, job descriptions, or work schedules.",
"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",
"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials.",
"develop marketing materials, proposals, or presentation to generate new work opportunities.",
"develop marketing plans for finished products, collaborating with sales associates to supervise product distribution.",
develop marketing strategies to compete with other individuals or companies who sell insurance.,
"develop master course documentation or manuals according to applicable accreditation, certification, or other requirements.",
develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,0.1131579
develop measurement tools to evaluate the effectiveness of instruction or training interventions.,
develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.,0.08033241
"develop methods to improve employment policies, processes, and practices, and recommend changes to management.",
"develop methods to monitor employee satisfaction with policies or working conditions, including grievance or complaint procedures.",
develop models or computer simulations of human biobehavioral systems to obtain data for measuring or controlling life processes.,
develop network-related documentation.,
"develop new business by contacting potential clients, making sales presentations, and writing proposals.",
develop new chemical engineering processes or production techniques.,
"develop new or improved methods or products for controlling or eliminating weeds, crop diseases, or insect pests.",
"develop new or improved ways of preserving, processing, packaging, storing, and delivering foods, using knowledge of chemistry, microbiology, and other sciences.",
develop new principles and new relationships between existing mathematical principles to advance mathematical science.,0.09466437
develop new recipes for baked goods.,
develop new software applications or customize existing applications to meet specific scientific project needs.,0.10621469
develop new styles and techniques.,
develop or adopt new tests or instruments to improve diagnosis of diseases.,
develop or analyze information to assess the current or future financial status of firms.,0.06649616
develop or apply data mining and machine learning algorithms.,0.089871615
"develop or approve project plans, schedules, or budgets.",
develop or assist in the development of transportation-related computer software or computer processes.,
"develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",
develop or coordinate fitness and wellness programs or services.,
develop or deliver proposals or presentations on topics such as the purchase or sale of energy.,
"develop or deliver training programs for health information technology, creating operating manuals as needed.",
develop or direct development of offering documents or marketing materials.,
develop or direct software system testing or validation procedures.,0.10773481
develop or direct study courses or religious education programs within congregations.,
"develop or document reverse logistics management processes to ensure maximal efficiency of product recycling, reuse, or final disposal.",
develop or document style guidelines for web site content.,
develop or implement data analysis algorithms.,
develop or implement electronic maintenance programs or computer information management systems.,
develop or implement fund investment policies or strategies.,
develop or implement marketing strategies.,0.03857143
develop or implement plans and procedures for ophthalmologic services.,
"develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",0.028248588
develop or implement policy evaluation procedures for hydroelectric generation activities.,
develop or implement procedures for ongoing web site revision.,0.071287125
develop or implement procedures or systems to evaluate or select suppliers.,
"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",
develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.,
"develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.",
develop or implement quality control programs.,
develop or implement risk-assessment models or methodologies.,0.073529415
"develop or implement treatment plans for problems such as stuttering, delayed language, swallowing disorders, or inappropriate pitch or harsh voice problems, based on own assessments and recommendations of physicians, psychologists, or social workers.",
"develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",0.06769826
"develop or maintain archived procedures, procedural codes, or queries for applications.",
"develop or maintain cost estimates, forecasts, or cost models.",0.05459057
develop or maintain internal or external company web sites.,0.09218203
"develop or maintain models for logistics uses, such as cost estimating or demand forecasting.",
develop or maintain online help documentation.,
develop or maintain payment systems to ensure accuracy of vendor payments.,
develop or maintain programs associated with automated production equipment.,
develop or maintain project reporting systems.,
"develop or maintain standards, such as organization, structure, or nomenclature, for the design of data warehouse elements, such as data architectures, models, tools, and databases.",
"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",
"develop or modify industrial electronic devices, circuits, or equipment, according to available specifications.",
develop or monitor procedures to ensure adequate quality control of images.,
"develop or recommend network security measures, such as firewalls, network security audits, or automated security probes.",
develop or review specifications for design or construction of security systems.,
"develop or revise business plans for online business, emphasizing factors such as product line, pricing, inventory, or marketing strategy.",
develop or select specific software programs for various research scenarios.,
develop or test new methods or models of transportation analysis.,
develop or test photonic prototypes or models.,
"develop or update procedures, policies, or standards.",
"develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",
"develop or use new non-destructive testing (ndt) methods such as acoustic emission testing, leak testing, and thermal or infrared testing.",
"develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",
"develop partnerships with businesses, communities, and other organizations to help meet identified educational needs and to provide school-to-work programs.",
"develop performance standards, and evaluate work in light of established standards.",
"develop plans and estimate costs for installation of systems, utilization of facilities, or construction of structures.",
"develop plans for oil and gas field drilling, and for product recovery and treatment.",
"develop plans or materials to communicate activities undertaken by organizations that are beneficial to the environment, public safety, or other important social issues.",
"develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",
develop planting plans for clients to assist them to garden productively or achieve particular aesthetic effects.,
develop post-production models for films.,
"develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.",
"develop pricing strategies, balancing firm objectives and customer satisfaction.",
"develop problem intervention procedures, using techniques such as interviews, consultations, role playing, and participant observation of group interactions.",
develop program plans for individuals or assist in plan development.,
develop programs or policy recommendations to achieve environmental goals in cost-effective ways.,
develop proposals that include documentation for estimates.,
"develop rehabilitation or instructional plans collaboratively with clients, based on results of assessments, needs, and goals.",
"develop rehabilitation plans that fit clients' aptitudes, education levels, physical abilities, and career goals.",
"develop relationships and communicate with customers, site managers, developers, land owners, authorities, utility representatives, or residents.",
develop reports or presentations to communicate the effectiveness of sustainability initiatives.,
develop safety procedures to be employed by workers operating equipment or working in close proximity to on-going chemical reactions.,
develop sales plans to introduce products in new markets.,
"develop set designs based on evaluation of scripts, budgets, research information, and available locations.",
develop software applications or programming to use for statistical modeling and graphic analysis.,0.073033705
develop specialized computer software routines to customize and integrate image analysis.,
develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,0.02972028
"develop statistical models or simulations of biochemical production, using statistical or modeling software.",
"develop story or content ideas, considering reader or audience appeal.",
develop strategies to advertise green products or merchandise to consumers.,
develop strategies to encourage new or increased contributions.,
"develop strategies, policies or procedures for introducing, evaluating or modifying information technology applied to nursing practice, administration, education, or research.",
"develop sustainability project goals, objectives, initiatives, or strategies in collaboration with other sustainability professionals.",
"develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",
"develop system engineering, software engineering, system integration, or distributed system architectures.",0.17142858
develop system interaction or sequence diagrams.,0.0931677
"develop systems that produce electricity using renewable energy sources, such as wind, solar, or biofuels.",
"develop teaching aids such as instructional software, multimedia visual aids, or study materials.",0.047945205
"develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course web sites.",0.023937121
"develop teaching or training materials, such as handouts, study materials, or quizzes.",0.022922637
develop testing procedures or direct activities of workers in laboratory.,
"develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",
develop theories based on personal observations or on observations and theories of other astronomers.,0.051446944
"develop therapeutic and treatment plans based on clients' interests, abilities, and needs.",
develop three-dimensional simulations of automation systems.,
develop training materials and conduct training sessions on fire protection.,
"develop training materials and procedures, or train users in the proper use of hardware or software.",
develop training programs or routines designed to improve athletic performance.,
"develop transactional web applications, using web programming software and knowledge of programming languages, such as hypertext markup language (html) and extensible markup language (xml).",0.074268565
"develop treatment plan to meet needs of patient, based on needs assessment, patient interests and objectives of therapy.",
"develop treatment plans based on diagnoses and on evaluation of factors such as age and general health, or procedural risks and costs.",
"develop treatment plans based on patients' histories and goals, the nature and severity of disorders, and treatment risks and benefits.",
"develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.",0.06405694
develop visual aids and charts for use in lectures or to present evidence in court.,
"develop web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",0.07310925
"develop work plans, including writing specifications or establishing material, manpower, or facilities needs.",
"develop, administer and evaluate applicant tests.",
"develop, copy, or adapt designs for garments, and design patterns to fit measurements, applying knowledge of garment design, construction, styling, and fabric.",0.02354399
"develop, implement or evaluate health information technology applications, tools, processes or structures to assist nurses with data management.",
"develop, implement, and evaluate methods of data collection, such as questionnaires or interviews.",
"develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",0.058192957
"develop, implement, or manage plans or programs related to conservation or management of natural resources.",
"develop, implement, or monitor security valuation policies.",
"develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",
"develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, web pages, electronic pathfinders, software programs, and online tutorials.",0.057228915
"develop, or contribute to the development of, educational or outreach programs on the environment or climate change.",
"develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",
"develop, present, or respond to proposals for specific customer requirements, including request for proposal responses and industry-specific solutions.",
"develop, recommend, or manage security procedures for operations or processes, such as security call centers, system acquisition, development, and maintenance, access control, program models, or reporting tools.",0.0872093
"develop, standardize, evaluate, or modify procedures, techniques, or tests used in the analysis of specimens or in medical laboratory experiments.",0.08040201
"develop, test, or program new robots.",
"devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data.",
"devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",
"devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.",
devise testing methods to evaluate the effects of various conditions on particular materials.,
"devise trading, option, or hedge strategies.",0.14864865
devise ways in which congregational membership can be expanded.,
"diagnose and correct problems from remote locations, using special switchboards to find the sources of problems.",
diagnose and resolve media system problems.,
"diagnose and treat conditions such as chemical dependency, alcohol dependency, acquired immune deficiency syndrome (aids) dementia, and environmental toxin exposure.",
diagnose and treat hearing or related disabilities under the direction of an audiologist.,
diagnose and treat pediatric populations for conditions such as learning disabilities with developmental or organic bases.,
"diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, and molecular biology.",
"diagnose faults or malfunctions to determine required repairs, using engine diagnostic equipment such as computerized test equipment and calibration devices.",
"diagnose malfunctioning systems, apparatus, or components, using test equipment and hand tools to locate the cause of a breakdown and correct the problem.",
"diagnose mechanical problems and determine how to correct them, checking blueprints, repair manuals, or parts catalogs, as necessary.",
diagnose or treat disorders of the musculoskeletal system.,
"diagnose or treat injuries, disorders, or diseases of the eye and eye structures including the cornea, sclera, conjunctiva, or eyelids.",
"diagnose, test, or analyze the performance of electrical components, assemblies, or systems.",0.057142857
"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",0.047889996
diagram supply chain models to help facilitate discussions with customers.,
direct activities for stopping the spread of infections in facilities such as hospitals.,
"direct and coordinate construction, erection, or decoration activities in order to ensure that sets or exhibits meet design, budget, and schedule requirements.",
"direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.",
"direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, or harvesting.",
"direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.",
direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,
"direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",
direct or provide home health services.,
"direct or train workers to install, maintain, or repair electrical wiring, equipment, or fixtures.",
"direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",
direct software programming and development of documentation.,
"direct, coordinate, and evaluate the activities of personnel, including support staff, engaged in administering academic institutions, departments or alumni organizations.",
"direct, coordinate, or advise personnel in test procedures for analyzing components or physical properties of materials.",
disclose merchant information and terms and policies of transactions in online or offline materials.,
discuss data presentation requirements with clients.,
"discuss filter options, lens choices, and the visual effects of objects being filmed with photography directors and video operators.",
discuss illnesses and treatments with patients and family members.,
discuss test results and analyses with customers.,
discuss the treatment of problems with clients.,0.024934383
discuss translation requirements with clients and determine any fees to be charged for services provided.,
