"43-0","Office and Administrative Support Occupations","Escriturários","Clerical and administrative support occupations map to the clerk subgroup in Brazil.","High confidence"
"43-1","Supervisors of Office and Administrative Support Workers","Gerentes","Supervisory office‑support roles are classified as managers.","Medium confidence"
"43-2","Communications Equipment Operators","Trabalhadores De Atendimento Ao Público","Operators of communications equipment provide frontline service, aligning with customer‑service workers.","Medium confidence"
"43-3","Financial Clerks","Escriturários","Financial clerks are a type of clerical worker.","High confidence"
"43-4","Information and Record Clerks","Escriturários","Information and record clerks correspond to general clerical staff.","High confidence"
"43-5","Material Recording, Scheduling, Dispatching, and Distributing Workers","Trabalhadores De Funções Transversais","These logistics and scheduling roles are transversal support functions.","Medium confidence"
"43-6","Secretaries and Administrative Assistants","Escriturários","Secretaries and administrative assistants are core clerical occupations.","High confidence"
"43-7","Other Office and Administrative Support Workers","Trabalhadores De Funções Transversais","Miscellaneous office support roles map to transversal support functions.","Medium confidence"
"45-0","Farming, Fishing, and Forestry Occupations","Trabalhadores Na Exploração Agropecuária","Agricultural, fishing, and forestry roles correspond to workers in agricultural exploitation.","High confidence"
"45-1","Agricultural Workers","Trabalhadores Na Exploração Agropecuária","Field and farm workers match the agricultural exploitation subgroup.","High confidence"
"45-2","Forest, Conservation, and Logging Workers","Pescadores E Extrativistas Florestais","Forest and logging workers align with forestry extractive workers.","Medium confidence"
"47-0","Construction and Extraction Occupations","Trabalhadores Da Indústria Extrativa E Da Construção Civil","Construction and extraction roles map directly to the Brazilian construction and extractive subgroup.","High confidence"
"47-1","Supervisors of Construction and Extraction Workers","Gerentes","Supervisory construction and extraction roles fit managerial subgroup.","Medium confidence"
"47-2","Construction Trades Workers","Trabalhadores Da Indústria Extrativa E Da Construção Civil","Skilled construction trades align with construction civil workers subgroup.","High confidence"
"47-3","Helpers, Construction Trades","Trabalhadores Da Indústria Extrativa E Da Construção Civil","Helpers assisting construction trades belong to the same construction subgroup.","Medium confidence"
"47-4","Other Construction and Related Workers","Trabalhadores Da Indústria Extrativa E Da Construção Civil","Miscellaneous construction-related workers align with construction civil workers.","Medium confidence"
"47-5","Extraction Workers","Trabalhadores Da Indústria Extrativa E Da Construção Civil","Extraction workers correspond to the construction and extractive subgroup.","High confidence"
"49-0","Installation, Maintenance, and Repair Occupations","Trabalhadores Em Serviços De Reparação E Manutenção Mecânica","Maintenance and repair roles map to mechanical repair and maintenance service workers.","High confidence"
"49-1","Supervisors of Installation, Maintenance, and Repair Workers","Gerentes","Supervisory installation and repair roles are managerial.","Medium confidence"
"49-2","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Trabalhadores Da Fabricação E Instalação Eletroeletrônica","Electrical and electronic repairers align with electronic installation workers.","High confidence"
"49-3","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Trabalhadores Em Serviços De Reparação E Manutenção Mecânica","Vehicle mechanics correspond to mechanical repair and maintenance workers.","High confidence"
"49-4","Other Installation, Maintenance, and Repair Occupations","Outros Trabalhadores Da Conservação, Manutenção E Reparação","Miscellaneous installation and repair roles fit the other maintenance and repair worker subgroup.","Medium confidence"
"51-0","Production Occupations","Trabalhadores Em Indústrias De Processos Contínuos E Outras Indústrias","Production occupations align with continuous‑process and other industrial workers.","Medium confidence"
"51-1","Supervisors of Production Workers","Gerentes","Supervisory production roles belong to managers.","Medium confidence"
"51-2","Assemblers and Fabricators","Trabalhadores Em Indústrias De Processos Contínuos E Outras Indústrias","Assemblers and fabricators perform general production tasks that align with continuous‑process and miscellaneous industrial workers.","Medium confidence"
"51-3","Food Processing Workers","Trabalhadores Da Fabricação De Alimentos, Bebidas E Fumo","Food processing roles correspond directly to workers in food, beverage, and tobacco manufacturing.","High confidence"
"51-4","Metal Workers and Plastic Workers","Trabalhadores Da Transformação De Metais E De Compósitos","Metal and plastic shaping workers match Brazilian metal‐transformation and composites workers.","High confidence"
"51-5","Printing Workers","Trabalhadores Nas Indústrias Têxtil, Do Curtimento, Do Vestuário E Das Artes Gráficas","Printing occupations fall under the textile, tanning, garment, and graphic‑arts industrial subgroup.","Medium confidence"
"51-6","Textile, Apparel, and Furnishings Workers","Trabalhadores Nas Indústrias Têxtil, Do Curtimento, Do Vestuário E Das Artes Gráficas","Textile and apparel production workers align directly with the textile/garment industrial subgroup.","High confidence"
"51-7","Woodworkers","Trabalhadores Das Indústrias De Madeira E Do Mobiliário","Woodworkers map to furniture and wood‑product industry workers.","High confidence"
"51-8","Plant and System Operators","Operadores De Produção, Captação, Tratamento E Distribuição (Energia, Água E Utilidades)","Plant and system operators manage utility production and distribution, matching operators of energy, water, and utilities.","Medium confidence"
"51-9","Other Production Occupations","Trabalhadores Em Indústrias De Processos Contínuos E Outras Indústrias","Miscellaneous production occupations remain within the broad continuous‑process industrial subgroup.","Medium confidence"
"53-0","Transportation and Material Moving Occupations","Técnicos De Nível Médio Em Serviços De Transportes","Transportation and material‑moving roles align with mid‑level transport service technicians.","Medium confidence"
"53-1","Supervisors of Transportation and Material Moving Workers","Gerentes","Supervisory transportation roles correspond to managerial occupations.","Medium confidence"
"53-2","Air Transportation Workers","Técnicos De Nível Médio Em Serviços De Transportes","Air‑transport workers fit within mid‑level transport service technicians.","Medium confidence"
"53-3","Motor Vehicle Operators","Técnicos De Nível Médio Em Serviços De Transportes","Drivers and motor‑vehicle operators are part of transport service technicians.","Medium confidence"
"53-4","Rail Transportation Workers","Técnicos De Nível Médio Em Serviços De Transportes","Rail transportation roles align with transport service technicians.","Medium confidence"
"53-5","Water Transportation Workers","Técnicos De Nível Médio Em Serviços De Transportes","Water‑transport workers match transport service technicians.","Medium confidence"
"53-6","Other Transportation Workers","Técnicos Polivalentes","Miscellaneous transportation occupations require versatile operational skills, aligning with polivalent technicians.","Low confidence"
"53-7","Material Moving Workers","Trabalhadores De Funções Transversais","Material‑moving roles are cross‑functional support tasks categorized under transversal workers.","Low confidence"
"55-0","Military Specific Occupations","Membros Superiores E Dirigentes Do Poder Público","Military‑specific occupations are grouped with public‑sector senior officials and leaders.","Low confidence"
"55-1","Military Officer Special and Tactical Operations Leaders","Membros Superiores E Dirigentes Do Poder Público","Military officers occupy leadership roles akin to senior public officials.","Medium confidence"
"55-2","First‑Line Enlisted Military Supervisors","Membros Superiores E Dirigentes Do Poder Público","First‑line enlisted supervisors parallel junior leadership roles within governmental hierarchy.","Low confidence"
"55-3","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members","Outros Trabalhadores Da Conservação, Manutenção E Reparação","Enlisted specialists perform technical maintenance and operational duties comparable to general maintenance and repair workers.","Low confidence"
"55-9","Military, All Other","Outros Técnicos De Nível Médio","Remaining military occupations without civilian equivalent align broadly with other mid‑level technicians.","Low confidence"



"51-2","Assemblers and Fabricators","Montadores De Aparelhos E Instrumentos De Precisão E Musicais","Assemblers of precision devices and musical instruments align with this CBO subgroup of precision/musical equipment assemblers.","High confidence"
"27-3","Media and Communication Workers","Técnicos Em Nível Médio Dos Serviços Culturais, Das Comunicações E Dos Desportos","Media and communication technicians correspond to mid‑level cultural, communications, and sports service technicians.","Medium confidence"
"39-2","Entertainment Attendants and Related Workers","Técnicos Em Nível Médio Dos Serviços Culturais, Das Comunicações E Dos Desportos","Entertainment attendants support cultural events, matching cultural service technicians.","Low confidence"
"51-5","Printing Workers","Trabalhadores Nas Indústrias Têxtil, Do Curtimento, Do Vestuário E Das Artes Gráficas","Printing workers cover the graphic‑arts component of this industrial subgroup.","Medium confidence"
"51-6","Textile, Apparel, and Furnishings Workers","Trabalhadores Nas Indústrias Têxtil, Do Curtimento, Do Vestuário E Das Artes Gráficas","Textile and apparel production workers align directly with the textile/garment industrial subgroup.","High confidence"
"11-3","Operations Specialties Managers","Diretores E Gerentes Em Empresa De Serviços De Saúde, Da Educação, Ou De Serviços Culturais, Sociais Ou Pessoais","Managers directing service organisations in health, education, culture, or social sectors fit ONET's operations specialties managers.","Medium confidence"
"49-4","Other Installation, Maintenance, and Repair Occupations","Polimantenedores","Multi‑skilled maintenance workers align with ONET's other installation, maintenance, and repair category.","Medium confidence"
"17-1","Engineers","Profissionais Das Ciências Exatas, Físicas E Da Engenharia","Engineering professionals correspond to ONET's engineers minor group.","High confidence"
"19-1","Physical Scientists","Profissionais Das Ciências Exatas, Físicas E Da Engenharia","Physical science professionals map to ONET's physical scientists minor group.","High confidence"
"11-9","Other Management Occupations","Produtores Na Exploração Agropecuária","Farm and ranch managers align with producers in agricultural exploitation.","High confidence"
"45-1","Agricultural Workers","Produtores Na Exploração Agropecuária","Agricultural producers performing field work correspond to agricultural workers.","Medium confidence"
"51-8","Plant and System Operators","Trabalhadores De Instalações E Máquinas De Fabricação De Celulose E Papel","Pulp and paper plant machinery operators align with plant and system operators.","Medium confidence"
"49-3","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Trabalhadores Da Mecanização Agropecuária E Florestal","Agricultural and forestry machinery mechanics correspond to vehicle and mobile equipment mechanics in O*NET.","Medium confidence"
"45-2","Forest, Conservation, and Logging Workers","Trabalhadores Da Mecanização Agropecuária E Florestal","Workers operating forestry machinery align with forest and logging workers.","Low confidence"
"27-1","Art and Design Workers","Trabalhadores Do Artesanato","Craft artists correspond to artisan workers in the CBO classification.","High confidence"
"51-7","Woodworkers","Trabalhadores Do Artesanato","Traditional woodcraft workers align with the woodworkers minor group.","Medium confidence"
